team,game,desc,date,opp,all_gf,all_ga,length,pts,sit,toi,gf,ga,cf,ca,ff,fa,sf,sa
ducks,1,Ducks 1 at Avalanche 6,2013-10-02,avalanche,1,6,reg,0,5v5,47.8,1,3,50,40,39,32,30,22
ducks,2,Ducks 4 at Wild 3 (OT),2013-10-05,wild,4,3,OT,2,5v5,49.0,2,1,26,51,22,36,17,25
ducks,3,Ducks 3 at Jets 2,2013-10-06,jets,3,2,reg,2,5v5,47.4,2,1,48,34,38,22,28,15
ducks,4,Rangers 0 at Ducks 6,2013-10-10,rangers,6,0,reg,2,5v5,45.4,6,0,37,45,31,33,26,29
ducks,5,Senators 1 at Ducks 4,2013-10-13,senators,4,1,reg,2,5v5,46.5,4,1,57,57,51,40,38,28
ducks,6,Flames 2 at Ducks 3,2013-10-16,flames,3,2,reg,2,5v5,43.9,3,1,32,43,21,36,14,27
ducks,7,Coyotes 2 at Ducks 3 (SO),2013-10-18,coyotes,3,2,SO,2,5v5,39.5,2,2,44,34,29,27,23,19
ducks,8,Stars 3 at Ducks 6,2013-10-20,stars,6,3,reg,2,5v5,44.2,3,2,46,48,35,36,27,23
ducks,9,Ducks 2 at Maple Leafs 4,2013-10-22,leafs,2,4,reg,0,5v5,43.7,2,3,49,34,34,23,16,18
ducks,10,Ducks 1 at Canadiens 4,2013-10-24,canadiens,1,4,reg,0,5v5,45.6,1,2,50,33,37,24,29,16
ducks,11,Ducks 2 at Senators 1,2013-10-25,senators,2,1,reg,2,5v5,42.4,2,0,39,36,31,26,22,15
ducks,12,Ducks 4 at Blue Jackets 3,2013-10-27,jackets,4,3,reg,2,5v5,47.5,3,2,36,37,26,26,19,18
ducks,13,Ducks 3 at Flyers 2,2013-10-29,flyers,3,2,reg,2,5v5,50.4,3,1,54,40,42,30,32,22
ducks,14,Ducks 2 at Bruins 3 (SO),2013-10-31,bruins,2,3,SO,1,5v5,49.8,2,1,25,39,21,27,17,16
ducks,15,Ducks 6 at Sabres 3,2013-11-02,sabres,6,3,reg,2,5v5,51.8,6,2,49,33,38,21,29,15
ducks,16,Ducks 2 at Rangers 1,2013-11-04,rangers,2,1,reg,2,5v5,52.7,2,1,37,56,27,41,20,29
